acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0.12;0.76;165996.00;0.46;0.00;-7.76;0.04;119.22;10;nivel 8
0.18;0.84;160627.00;0.39;0.00;-7.90;0.08;129.97;2;nivel 9
0.00;0.67;261013.00;0.87;0.00;-5.22;0.03;130.04;8;nivel 9
0.64;0.60;230880.00;0.47;0.00;-4.95;0.03;113.82;4;nivel 9
0.06;0.52;174933.00;0.92;0.00;-2.86;0.10;90.07;2;nivel 8
0.50;0.65;181740.33;0.57;0.00;-6.47;0.17;104.46;11;nivel 9
0.33;0.80;135878.00;0.76;0.00;-5.39;0.03;129.96;2;nivel 8
0.46;0.83;146886.33;0.52;0.00;-8.71;0.27;90.73;0;nivel 8
0.03;0.53;193085.60;0.83;0.00;-3.95;0.06;130.42;6;nivel 8
0.14;0.71;157811.42;0.68;0.00;-4.68;0.09;129.35;9;nivel 8
0.80;0.88;189020.50;0.37;0.00;-11.44;0.09;100.49;9;nivel 8
0.10;0.65;327967.00;0.90;0.00;-4.57;0.08;121.99;6;nivel 8
0.10;0.65;327967.00;0.90;0.00;-4.57;0.08;121.99;6;nivel 8
0.29;0.90;167184.00;0.25;0.00;-17.54;0.11;117.99;5;nivel 8
0.07;0.74;227026.50;0.73;0.02;-8.16;0.03;119.94;10;nivel 8
0.89;0.52;187932.00;0.13;0.03;-18.72;0.04;109.99;4;nivel 9
0.02;0.65;225668.00;0.83;0.00;-4.01;0.06;145.00;8;nivel 8
0.21;0.69;313640.00;0.56;0.00;-5.69;0.09;92.02;5;nivel 8
0.88;0.63;184638.00;0.31;0.08;-11.74;0.04;76.99;1;nivel 9
0.48;0.72;201453.00;0.42;0.00;-8.65;0.06;114.12;11;nivel 8
0.81;0.40;253342.00;0.32;0.00;-7.03;0.04;118.58;1;nivel 8
0.27;0.70;211592.40;0.73;0.00;-4.16;0.07;102.83;9;nivel 8
0.08;0.49;222400.00;0.65;0.00;-4.13;0.04;149.98;11;nivel 8
0.18;0.87;223258.00;0.44;0.00;-8.94;0.07;129.04;7;nivel 8
0.11;0.70;184656.14;0.61;0.00;-5.77;0.14;112.89;6;nivel 8
0.02;0.44;225688.00;0.80;0.00;-5.06;0.11;178.14;2;nivel 8
0.10;0.55;206302.40;0.58;0.00;-7.80;0.06;122.79;9;nivel 8
0.04;0.50;205165.00;0.76;0.00;-4.19;0.13;169.90;11;nivel 8
0.21;0.65;173602.67;0.64;0.00;-4.65;0.04;129.13;1;nivel 8
0.28;0.51;208516.00;0.74;0.00;-5.56;0.04;100.64;2;nivel 8
0.25;0.76;194703.20;0.58;0.03;-6.21;0.04;105.97;7;nivel 8
0.06;0.71;200889.87;0.78;0.00;-4.32;0.12;126.47;4;nivel 8
0.01;0.90;218182.00;0.52;0.00;-7.29;0.15;132.01;4;nivel 8
0.31;0.58;213573.00;0.68;0.00;-4.31;0.57;210.16;10;nivel 8
0.27;0.89;123359.00;0.51;0.00;-10.11;0.29;124.44;9;nivel 8
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.22;0.76;155720.00;0.61;0.00;-7.93;0.05;117.02;3;nivel 8
0.65;0.61;198938.94;0.33;0.09;-12.21;0.14;117.65;4;nivel 8
0.01;0.58;220573.00;0.70;0.00;-5.34;0.04;104.88;9;nivel 8
0.30;0.73;216133.00;0.48;0.00;-6.74;0.07;62.51;2;nivel 8
0.00;0.70;222307.00;0.76;0.00;-5.82;0.04;95.04;2;nivel 8
