acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;key;popularity
7,17833E+15;494;1239445;5,84833E+15;706666666,7;1899;-8,07167E+15;9,15833E+15;1,22275E+16;7,12667E+15;0;2583333333333330,00
7,49968E+15;3,83397E+16;1,75894E+15;3,04565E+15;2,22504E+16;2,22444E+16;-1,22637E+16;3,67698E+15;1,03367E+16;4,04579E+15;7;2587301587301590,00
4,70769E+15;7,32769E+15;1,55252E+15;4,09692E+15;1,37662E+16;1,82562E+16;-1,12404E+16;6,75385E+15;1,15968E+16;8,24846E+15;10;2592307692307690,00
9,00529E+15;3,26882E+15;2,27294E+16;1,59435E+15;2,72657E+15;2,41353E+15;-1,86382E+16;5,28059E+15;9,10126E+15;1,59682E+15;9;2594117647058820,00
5,66565E+15;5,29652E+15;3,02766E+15;5,01643E+15;6,55274E+15;4,16043E+15;-1,61547E+16;7,91435E+15;1,25163E+16;8,33696E+15;2;2608695652173910,00
4,66746E+15;6,02415E+15;2,60966E+16;2,70551E+16;1,11328E+16;1,44112E+16;-1,47161E+16;7,55683E+15;1,08385E+16;3,9278E+14;4;2609756097560980,00
7,61833E+15;5,00833E+15;2419245;391;1,48089E+15;1,53033E+16;-1,47268E+16;4,42167E+15;1,16516E+16;7,78167E+15;6;2616666666666670,00
1,53883E+16;7,69E+15;3653400;5505;142373;2,67133E+15;-12228;6,77833E+15;1,22299E+16;7,16E+15;9;2616666666666670,00
7,61833E+15;5,00833E+15;2419245;391;1,48089E+15;1,53033E+16;-1,47268E+16;4,42167E+15;1,16516E+16;7,78167E+15;9;2616666666666670,00
3,32606E+16;5,06293E+14;1,97619E+16;6,59939E+15;5,57692E+16;2,16423E+16;-7,06055E+15;4,25732E+16;1,24106E+16;6,58293E+15;5;2628048780487800,00
1,18629E+16;2,96158E+15;1,60632E+16;9,16947E+15;5,88047E+15;1,45311E+16;-6,29253E+15;8,47421E+15;1,24285E+16;4,53947E+15;9;2631578947368420,00
652;4,59E+15;1,68582E+16;6,95333E+15;0,00109;2,88E+16;-3,96033E+15;3,32333E+15;1,33272E+16;7,04E+15;7;2633333333333330,00
1,98667E+16;46;1,28027E+16;5,99333E+15;46;1,22433E+16;-1,33733E+16;3,71333E+15;1,07739E+16;6,59333E+15;4;2633333333333330,00
1654;4,34667E+15;2,38933E+16;517;4,58333E+15;1,33333E+16;-4937;336;140799;5,84667E+15;4;2633333333333330,00
2,85667E+15;4,43667E+16;1888400;4,86667E+15;3,91633E+15;2,48333E+15;-12374;3,52333E+15;1,10444E+16;6,13667E+15;5;2633333333333330,00
1,34333E+15;7,43333E+15;3,22097E+16;5,91E+15;5,84667E+15;2,04333E+15;-9,88933E+15;5,78667E+15;1,29347E+16;3,86333E+16;10;2633333333333330,00
6,37556E+15;6,14778E+15;2251200;3,38222E+15;6,33333E+15;2,21667E+16;-1,36051E+16;1,25133E+16;1,10028E+16;5,95111E+15;0;2633333333333330,00
2,66267E+15;7,04E+15;1,60964E+16;6,16E+15;0;1204;-9951;332;12518;9,14667E+15;5;2633333333333330,00
2,99E+16;7,77333E+15;2,19907E+16;5,08667E+15;0,00005;1,13767E+16;-1,37383E+16;2839;133037;9,52E+15;6;2633333333333330,00
9,63714E+15;5,61286E+15;1,89147E+15;1,40271E+16;3,67587E+15;1,56143E+16;-1,97251E+15;4,82E+15;1,14327E+16;5,46714E+15;6;2642857142857140,00
7,79857E+15;5,00429E+15;1,30786E+16;5,37714E+15;1,53715E+16;2,98057E+15;-8,39271E+15;6,52143E+15;1,15548E+16;7,00714E+15;5;2642857142857140,00
9,63714E+15;5,61286E+15;1,89147E+15;1,40271E+16;3,67587E+15;1,56143E+16;-1,97251E+16;4,82E+15;1,14327E+16;5,46714E+15;6;2642857142857140,00
2,66969E+15;4,33333E+15;1,95931E+16;6,25286E+15;6,08495E+16;2,57076E+15;-1,09879E+16;4,83095E+14;1,24044E+16;5,72667E+15;9;2642857142857140,00
3,38E+16;5,74429E+15;2,50634E+15;5,18286E+15;1,77857E+16;2,495E+15;-9,64871E+15;3,48143E+15;1,48175E+16;4,88571E+15;9;2642857142857140,00
7,44167E+15;5,12E+15;3,52224E+16;3,54111E+15;5,50613E+15;1,52711E+16;-1,5861E+16;4,64944E+16;1,07938E+16;3,93194E+15;5;2644444444444440,00
9,67818E+15;2,76673E+15;5,54172E+15;1,37345E+16;4,75175E+15;1,21582E+16;-2,01869E+16;4,35818E+15;1,10841E+16;1,60718E+16;7;2645454545454540,00
2,84555E+15;5,25591E+14;2,58959E+15;5825;4,21712E+15;2,56482E+15;-1,1368E+15;3,76591E+15;1,21341E+16;6,44727E+15;4;2654545454545450,00
8,23917E+15;4,40083E+15;3,02863E+16;3,63833E+15;325175;2,85842E+16;-1,18948E+16;8,84417E+15;10410925;3,75833E+15;8;2658333333333330,00
3,87826E+15;5,21795E+15;1,56867E+16;6,24386E+15;2,9627E+16;2,30377E+15;-8,94167E+15;6,39023E+15;1,18558E+15;6,7817E+15;9;2660227272727270,00
7,18233E+15;3,65267E+15;1817697;3,03867E+15;625503;2,16447E+16;-1,28332E+16;3,93733E+15;1,03201E+16;36669;7;2663333333333330,00
5,7E+15;5,92409E+15;1,54556E+15;3,28545E+16;2,26576E+16;1,34577E+16;-1,74891E+15;4,46682E+15;1,18325E+16;6,88273E+15;4;2663636363636360,00
3,22667E+15;7,83E+15;4,97725E+16;6,92333E+15;2,88107E+15;832;-7,967E+16;6,54667E+15;1,25013E+16;5,11333E+15;4;2666666666666670,00
3,76667E+15;604;2463600;5,91333E+15;2,691E+16;2108;-1,07757E+16;1,22467E+16;1,11267E+16;649;1;2666666666666670,00
6,9E+15;4,98333E+15;1,57987E+16;8,31333E+15;3,29333E+15;6,28667E+15;-8,76333E+15;1,86333E+16;1,62789E+16;8,40667E+15;0;2666666666666670,00
9,77667E+15;1,83133E+15;3,31362E+16;8,75E+15;19900585;1,13033E+16;-2,07462E+16;4,57333E+16;1,06483E+16;4,18667E+15;7;2666666666666670,00
6,11467E+15;5,92667E+15;3246300;7,58667E+15;291146;1,56667E+16;-7,17067E+16;3,84333E+15;1,34308E+15;5,406E+15;10;2666666666666670,00
3,40667E+15;5,14667E+15;1,47155E+16;7,64333E+15;0;2,29333E+15;-8,57133E+15;6,85667E+15;129674;847;11;2666666666666670,00
6,09333E+15;5,06E+15;3,32022E+16;5,65333E+15;9,94333E+15;3,29667E+16;-8,168E+15;2,90333E+16;1,04873E+16;5,64667E+15;4;2666666666666670,00
3,37433E+15;4,40333E+15;1,87689E+16;7,48333E+15;31645;474;-6,76833E+16;4,03333E+15;1,50065E+15;8,53E+15;7;2666666666666670,00
87;6,34667E+15;1779510;2,33533E+15;0;7,90333E+15;-1,01583E+16;5,12333E+15;9,18447E+15;5,87667E+15;7;2666666666666670,00
8,00692E+15;3,78308E+15;1,70571E+15;3,23E+16;6,65996E+15;2,15531E+15;-1,44702E+16;3,96615E+15;1,10524E+16;4,07846E+14;2;2676923076923080,00
9,58542E+15;3,19294E+15;2,07331E+16;1,67302E+16;4,04556E+16;2,58765E+15;-1,95684E+15;5,9075E+15;9,91208E+15;1,82633E+15;1;2680555555555560,00
8,23333E+15;44;1500335;5,805E+15;6,64517E+15;2,618E+16;-1,03687E+16;6,79167E+15;1485295;9,44E+15;3;2683333333333330,00
3,63833E+15;4,71417E+15;2,95357E+16;4,97583E+15;4,39436E+15;2,95992E+16;-1,3756E+16;41125;1,16105E+16;6,31333E+15;9;2683333333333330,00
9,08909E+15;4,13303E+15;1,7196E+15;2,55121E+15;1,45855E+15;3,03279E+15;-1,26643E+15;3,97273E+16;9,42763E+15;3,48212E+15;5;2684848484848480,00
8,66128E+14;5,12667E+15;3,01419E+15;1,68024E+16;2,93805E+16;1,16058E+16;-1,99062E+16;4,355E+15;1,15787E+16;4,66679E+15;5;2691025641025640,00
7,52538E+15;6,92154E+15;1,78562E+16;2,77923E+15;2,04142E+16;2,10546E+16;-1,16204E+16;7,15462E+15;1,28766E+16;8,21769E+15;5;2692307692307690,00
9,39432E+15;4,78243E+15;1,71819E+16;2,38249E+16;6,16676E+15;1,4483E+15;-1,73954E+16;6,76324E+15;1,05793E+16;5,55443E+15;9;2702702702702700,00
4,27556E+15;4,47667E+16;2696370;4,51778E+15;12622222222;2006;-1,19598E+16;4,14111E+15;1,12018E+16;5,34556E+15;1;2711111111111110,00
1,25114E+16;3,57222E+15;1,53258E+16;8,73333E+15;3,84027E+15;1,15633E+16;-1,11653E+16;6,50222E+15;1,2423E+16;3,29667E+15;11;2711111111111110,00
3,47471E+16;4,70474E+15;1,67661E+16;5,81543E+15;6,01702E+15;2,46266E+15;-1,01169E+16;3,77172E+15;1,22061E+16;6,69259E+15;2;2716379310344830,00
9,49402E+15;2,67333E+15;3,11795E+15;1,86878E+15;7,58752E+15;1,91659E+16;-1,9948E+16;4,40359E+15;1,00831E+15;1,74401E+15;2;2717391304347830,00
5,39194E+15;6,63767E+15;2,43369E+15;7,68175E+15;4,52809E+16;1,77008E+15;-5,5237E+15;5,61379E+15;1,17186E+16;8,72427E+15;5;2718446601941750,00
7,41068E+15;3,77068E+15;1,92596E+16;3,53031E+16;7,36401E+15;1,94461E+16;-1,30579E+16;3,65983E+15;1,04206E+16;3,59157E+16;2;2718803418803420,00
6,175E+15;5,68636E+15;1,56206E+16;3985;32064090909;2,72773E+15;-1,18008E+16;3,63409E+15;1150925;6,49227E+15;7;2722727272727270,00
1,19517E+16;4,54E+15;2,57129E+15;6,18308E+15;8,18337E+15;175;-9,92577E+14;345;1,1298E+15;4,50077E+15;0;2723076923076920,00
7,76183E+15;3,60833E+15;15708395;2,77948E+16;5,74477E+11;2,1639E+16;-1,25412E+16;3,12367E+16;1,03396E+16;4189;10;2723333333333330,00
9,30364E+15;2,98909E+16;3,61899E+16;2,11882E+15;2,23373E+16;2,23636E+15;-1,69826E+16;5,04909E+16;9,70124E+15;2,55891E+15;10;2727272727272730,00
1,04419E+15;6,59364E+15;2,33468E+16;6,30364E+15;9,27115E+15;2,13809E+16;-7,46427E+15;2,99273E+16;1,19866E+16;5,71082E+15;6;2727272727272730,00
98925;3,79364E+15;1,38418E+16;1,15886E+15;9,14409E+15;1,43232E+15;-2,5759E+15;6,53091E+15;1,09713E+16;4,25759E+15;0;2727272727272730,00
9,88591E+15;5,50273E+15;1,8177E+16;2,63909E+15;8,16764E+15;19425;-1,35263E+16;4,77455E+16;1,1104E+16;4,44545E+15;5;2727272727272730,00
723;6,66333E+15;4241910;5,42333E+15;1,48477E+16;226;-11237;3,94667E+15;1,18915E+16;8,7E+15;7;2733333333333330,00
3,27333E+15;7,72E+15;2,48276E+16;4,79667E+15;2,31057E+15;4,96667E+16;-1,03813E+16;1,25533E+16;1,7486E+16;8,06333E+15;7;2733333333333330,00
1,03133E+16;8,15E+15;3240490;7,51667E+15;1871;78;-7945;4,71333E+15;1,142E+16;7,97667E+15;7;2733333333333330,00
4,01804E+15;5,88333E+15;3,09455E+16;4,83556E+15;1,90299E+16;1,78111E+15;-1,33716E+16;4,16889E+16;1,35345E+16;6,75889E+15;2;2733333333333330,00
3,54833E+15;457;1,69578E+16;327;0,002255;1,30517E+16;-1,31708E+16;3,05833E+15;1,09128E+16;5,04667E+15;0;2733333333333330,00
337;8,08E+15;1768310;5,46E+15;41806666667;1194;-7,70567E+16;773;1,41458E+16;7,91333E+15;10;2733333333333330,00
4,68171E+15;5,11857E+15;2024930;7,03E+15;1,04951E+15;2,30286E+15;-8,261E+15;1,54686E+16;1,35421E+16;4,28429E+15;7;2742857142857140,00
2,40574E+15;4,46143E+15;2,42684E+15;6,77857E+15;2,80537E+15;2,48857E+15;-1,03457E+16;6,65857E+15;1,05206E+16;2,58029E+15;1;2742857142857140,00
7,41818E+15;5,83182E+15;2,00359E+16;6,89455E+15;9,18184E+15;1,61364E+16;-8,07664E+15;8,19818E+15;1,08873E+16;9,01909E+15;5;2745454545454540,00
7,44514E+15;5,12015E+15;2,00985E+16;3,15253E+16;9,07479E+14;2,2586E+15;-1,31258E+15;7,36307E+15;1,16812E+16;5,64623E+15;5;2750251256281410,00
4,28789E+15;6,77474E+15;1,5378E+16;7,47079E+15;3,72051E+15;2,07561E+16;-9,19761E+15;1,02566E+15;1,37426E+16;8,35421E+15;5;2752631578947370,00
8,67814E+15;3,84322E+15;1,75381E+16;2,75139E+16;5,13474E+16;1,86939E+16;-1,37906E+15;4,49559E+15;1,05565E+16;3,49889E+15;0;2753672316384180,00
9,04455E+15;5,44182E+15;2,34906E+15;1,22982E+16;1,41138E+15;1,34836E+16;-1,72895E+16;4,78091E+16;1,05758E+16;3,90455E+16;7;2754545454545450,00
3,98842E+15;3,61733E+15;2,53684E+15;4,8312E+15;2,1511E+15;2,63166E+15;-1,14927E+15;4,40317E+15;1,13491E+16;3,90154E+15;0;2756227758007120,00
5,54071E+15;5,51786E+15;1,93171E+16;3,22107E+15;3,84989E+15;1,22671E+16;-1,37756E+16;4,22357E+16;1,20671E+15;4,93521E+15;2;2757142857142860,00
9,28717E+15;4,69583E+15;1,84724E+16;2,20457E+15;9,63947E+15;1,90943E+16;-1,50352E+16;3,805E+15;9,0137E+15;3,67383E+15;5;2758333333333330,00
4,22E+16;6,04667E+15;2155000;6,82333E+15;0,000356;3,33E+16;-6,01867E+16;425;124915;9,12667E+15;0;2766666666666670,00
4,22E+16;6,04667E+15;2155000;6,82333E+15;0,000356;3,33E+16;-6,01867E+16;425;1,24915E+16;9,12667E+15;0;2766666666666670,00
5496;6,67E+15;2,92622E+16;8,49333E+15;1,06013E+15;1,409E+16;-1,3131E+16;548;1,27676E+16;5,21233E+15;10;2766666666666670,00
1,69293E+16;428;1914950;7,35333E+15;5,01667E+15;2,05467E+16;-6,964E+15;6,67667E+15;1,36897E+16;7,89667E+15;0;2766666666666670,00
7,64833E+15;5,68333E+15;1532000;3,32333E+16;0,06598;1,59017E+16;-1,29068E+16;7,18833E+15;1,13636E+16;7,04E+15;0;2766666666666670,00
7,66E+15;3,685E+15;1789890;2,29167E+15;2,95333E+11;1625;-154225;2905;1,13399E+16;6,03167E+15;10;2766666666666670,00
8,62333E+15;6,01667E+15;1,85427E+16;2393;3,06517E+16;1,69E+16;-1,30677E+16;3,385E+16;9,91403E+15;5,665E+15;2;2766666666666670,00
3,71853E+16;5,93067E+15;1415654;5,27533E+15;1,81525E+16;1,1382E+16;-9,75807E+14;3,186E+15;1,27405E+16;8,17867E+15;9;2773333333333330,00
4,11506E+15;5,24723E+15;2,74828E+16;4,57085E+15;6,57272E+15;1,72943E+16;-1,25315E+15;4,62851E+15;1,27969E+16;6,12596E+15;9;2774468085106380,00
5,1775E+15;4,48221E+15;2,03461E+16;4,75059E+15;6,6998E+14;1,59288E+16;-1,1183E+16;4,47412E+15;1,27007E+16;4,96038E+15;9;2777941176470590,00
5,99657E+15;5,78829E+15;2,15666E+16;4,14477E+16;1,36515E+16;1,93126E+15;-1,19899E+16;7,64714E+15;1221312;6,094E+15;7;2782857142857140,00
44215;6,55833E+15;2,54653E+16;4,60167E+15;1,58378E+16;1,11467E+16;-1,22787E+16;4,28333E+15;105735;5,245E+15;0;2783333333333330,00
8,19468E+15;4,15064E+16;1,99843E+15;2,24196E+16;4,82E+15;2,51947E+15;-1,54787E+16;9,12277E+14;1,05099E+15;3,7257E+15;10;2785106382978720,00
7,53133E+15;5,27917E+15;1,63461E+16;2,918E+15;8,8241E+15;1,52208E+15;-1,23898E+16;3,19583E+16;1,03072E+16;4,68233E+15;9;2786666666666670,00
6,34829E+15;5,53879E+15;2,19137E+15;5,02863E+15;3,72757E+15;2,81558E+15;-1,04669E+15;7,06725E+14;1,20626E+16;6,1739E+15;2;2789010989010990,00
