acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0,81;0,4;253342;0,32;0;-7,03;0,04;118,58;1;75
0,27;0,7;211592,4;0,73;0;-4,16;0,07;102,83;9;78,2
0,08;0,49;222400;0,65;0;-4,13;0,04;149,98;11;75
0,18;0,87;223258;0,44;0;-8,94;0,07;129,04;7;75
0,11;0,7;184656,14;0,61;0;-5,77;0,14;112,89;6;75,14
0,02;0,44;225688;0,8;0;-5,06;0,11;178,14;2;74
0,1;0,55;206302,4;0,58;0;-7,8;0,06;122,79;9;76,6
0,04;0,5;205165;0,76;0;-4,19;0,13;169,9;11;74
0,21;0,65;173602,67;0,64;0;-4,65;0,04;129,13;1;78,5
0,28;0,51;208516;0,74;0;-5,56;0,04;100,64;2;74,67
0,25;0,76;194703,2;0,58;0,03;-6,21;0,04;105,97;7;74
0,06;0,71;200889,87;0,78;0;-4,32;0,12;126,47;4;75,61
0,01;0,9;218182;0,52;0;-7,29;0,15;132,01;4;75
0,31;0,58;213573;0,68;0;-4,31;0,57;210,16;10;74
0,27;0,89;123359;0,51;0;-10,11;0,29;124,44;9;75
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,22;0,76;155720;0,61;0;-7,93;0,05;117,02;3;77
0,65;0,61;198938,94;0,33;0,09;-12,21;0,14;117,65;4;76,71
0,01;0,58;220573;0,7;0;-5,34;0,04;104,88;9;75
0,3;0,73;216133;0,48;0;-6,74;0,07;62,51;2;75
0;0,7;222307;0,76;0;-5,82;0,04;95,04;2;74
0;0,7;222307;0,76;0;-5,82;0,04;95,04;2;74
0,49;0,77;210240;0,26;0,01;-8,55;0,05;118,9;7;75
0,15;0,7;193613;0,87;0,13;-4,66;0,03;121,03;7;76
0,01;0,74;106546,46;0,86;0,01;-5,61;0,29;132,92;1;75,15
0,88;0,51;232305,5;0,2;0;-8,22;0,03;141,95;10;82
0,12;0,7;190302;0,87;0;-5,9;0,07;125,03;10;74
0,48;0,67;167774,5;0,49;0;-4,59;0,09;108,76;11;76
0,54;0,84;230280;0,64;0;-4,8;0,04;120,03;6;75
0,4;0,7;355390;0,64;0;-5,64;0,12;119,03;8;74,25
0,47;0,62;198853;0,44;0;-9,68;0,05;119,95;2;82
0,16;0,7;186703,5;0,93;0;-4,17;0,06;92,5;6;74
0,46;0,54;207255,25;0,53;0;-7,29;0,06;111,97;0;75,13
0,39;0,7;271640;0,63;0;-7,37;0,04;113,93;11;76
