danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0,68;174255;0,54;0;0,08;-6,18;0,07;94,1;4;0
0,48;93205;0,28;0,93;0,12;-22,25;0,05;93,17;3;0
0,48;346493;0,21;0;0,59;-13,12;0,05;74,64;0;59
0,28;185396;0,13;0,78;0,11;-17,55;0,04;76,45;11;0
0,14;371747;0,35;0,88;0,11;-12,66;0,04;86,24;10;57
0,23;381507;0,11;0,02;0,18;-22,48;0,06;166,41;7;49
0,83;189907;0,52;0;0,07;-8,71;0,04;104,99;0;64
0,23;118013;0,86;0,75;0,26;-11,17;0,06;109,64;9;0
0,59;278499;0,69;0;0,21;-4,44;0,06;174,35;10;60
0,69;493990;0,83;0,52;0,68;-6,2;0,06;128;10;0
0,41;97437;0,98;0,78;0,64;-6,77;0,32;137,96;5;13
0,65;237373;0,75;0;0,11;-9,22;0,05;93,85;11;29
0;87874;0,96;1;0,43;-20,36;0;0;0;67
0,17;180000;0,13;0,01;0,03;-22,43;0,05;174,22;9;17
0,58;206586;0,16;0;0,12;-9,24;0,36;157,08;1;0
0,68;186878;0,7;0;0,17;-5,59;0,04;120,03;6;82
0,79;227586;0,94;0;0,31;-4,95;0,27;86,01;8;0
0,86;228533;0,61;0,01;0,04;-6,71;0,04;99,15;6;46
0,43;210703;0,97;0;0,29;-4,48;0,34;155,01;1;0
0,76;200713;0,35;0,02;0,5;-9,66;0,07;121,36;9;0
0,72;237715;0,75;0;0,07;-5,45;0,13;128,02;4;13
0,72;309499;0,79;0;0,53;-5,58;0,27;99,97;10;20
0,61;242026;0,74;0;0,27;-7,32;0,07;182,22;7;46
0,69;274947;0,9;0;0,27;-5,13;0,1;91,01;4;50
0,35;180840;0,21;0;0,11;-19,35;0,14;74,04;0;20
0,45;197695;0,21;0;0,38;-13,04;0,06;109,79;10;3
0,59;97406;0,92;0,98;0,22;-10,99;0,05;137,84;1;7
0,6;236560;0,21;0;0,14;-15,09;0,26;104,68;6;38
0,62;271731;0,92;0,86;0,27;-3,5;0,15;172;0;0
0,51;103000;0,94;0,37;0,11;-6,23;0,06;130,14;5;11
0,91;166857;0,62;0;0,12;-10,23;0,08;104,97;0;73
0,69;234136;0,2;0,02;0,12;-15,58;0,05;146,04;0;4
