danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,popularity
0.51,171773,0.98,0.71,0.37,-7.57,0.06,137.98,2,0
0.81,428487,0.91,0.89,0.07,-8.56,0.06,125.99,0,0
0.67,174800,0.57,0,0.17,-6.36,0.04,166.11,1,68
0.65,195507,0.91,0,0.34,-5.02,0.04,124.01,10,57
0.83,289760,0.66,0,0.06,-7.07,0.05,134.87,7,42
0.33,211453,0.22,0,0.19,-8.98,0.03,109.57,7,69
0.62,125639,0.87,0.51,0.41,-7.11,0.14,129.98,1,36
0.83,85333,0.66,0.01,0.13,-10.95,0.33,90.01,0,2
0.68,368000,0.97,0.89,0.09,-6.94,0.04,119.98,10,22
0.81,523097,0.42,0.93,0.11,-8.23,0.13,126.01,1,0
0.74,250547,0.53,0,0.13,-9.69,0.03,102.99,2,62
0.1,445720,0.03,0.89,0.12,-21.13,0.04,67.07,2,57
0.67,204267,0.73,0,0.32,-10.35,0.05,93.4,2,54
0.75,210991,0.13,0.01,0.13,-13.18,0.45,81.29,5,0
0.7,277846.5,0.74,0,0.19,-4.31,0.05,153.82,11,56
0.67,219493,0.26,0,0.12,-13,0.04,147.45,7,56
0.38,223469,0.62,0,0.68,-12.17,0.08,85.93,5,40
0.56,232573,0.39,0,0.08,-9.4,0.03,81.9,8,42
0.83,389760,0.89,0.61,0.1,-5.64,0.1,125.01,1,0
0.47,177520,0.34,0,0.14,-13.28,0.06,145.44,3,47
0.59,178026,0.75,0.36,0.08,-6.6,0.05,149.93,1,61
0.79,211707,0.79,0,0.26,-4.54,0.05,127.95,2,63
0.73,445588,0.45,0.02,0.1,-14.45,0.04,116.36,5,27
0.78,226987,0.54,0,0.09,-6.29,0.04,133.79,9,36
0.4,159395,0.46,0,0.12,-10.83,0.03,145.75,10,0
0.85,180964,0.37,0.46,0.38,-10.38,0.07,106.23,6,0
0.68,356702,0.38,0.9,0.11,-16.41,0.04,116.95,8,0
0.72,236992,0.73,0,0.22,-5.22,0.07,152.01,1,63
0.44,316600,0.57,0,0.06,-11.2,0.07,172.18,4,25
0.71,173867,0.19,0,0.11,-12.34,0.03,81.88,8,45
0.65,282827,0.61,0,0.11,-6.56,0.03,130.01,7,60
0.41,144880,0.15,0,0.17,-13.62,0.06,106.09,0,0
0.67,141240,0.26,0.74,0.15,-17.88,0.04,119.48,6,0
0.54,145440,0.56,0,0.28,-8.87,0.1,125.55,8,1
0.81,465120,0.55,0.75,0.11,-10.72,0.06,124.99,6,0
0.2,506853,0.21,0,0.48,-19.76,0.06,77.02,8,0
0.4,210533,0.72,0.33,0.15,-6.52,0.03,100.36,4,27
0.23,250600,0.26,0,0.31,-12.14,0.04,86.95,9,0
0.37,112613,0.12,0.94,0.13,-23.44,0.04,75.12,8,0
0.44,139287.5,0.09,0.9,0.14,-19.62,0.05,87.91,11,0
0.58,283907,0.46,0.13,0.12,-11.77,0.03,105.02,4,36
0.3,199067,0.01,0.94,0.11,-30.75,0.04,148.58,8,40
0.73,159171,0.6,0,0.11,-10.02,0.32,98.02,6,72
0.24,188200,0.07,0.97,0.07,-26.34,0.05,87.46,11,38
0.45,93333,0.03,0,0.05,-31.28,0.03,83.31,3,51
0.32,186786.5,0.39,0,0.44,-15.38,0.03,118.72,7,35
0.28,138760,0.24,0.03,0.22,-13.6,0.03,83.42,7,5
0.43,285720,0.18,0.65,0.69,-22.03,0.05,127.91,7,16
0.58,133084,0.5,0,0.18,-5.41,0.04,129.66,7,20
0.56,218160,0.15,0.79,0.12,-22.87,0.07,134.76,3,8
0.68,343493,0.24,0,0.23,-18.13,0.92,98.61,4,0
0.66,437715,0.67,0.87,0.06,-8.72,0.05,125.04,1,0
0.57,229827,0.18,0,0.25,-13.9,0.12,136.38,4,2
0.48,145880,0.08,0.86,0.09,-23.81,0.05,96.61,5,0
0.86,168829,0.81,0.08,0.11,-6.36,0.14,103.52,1,0
0.43,200480,0.84,0,0.18,-4.54,0.04,147.39,4,62
0.78,197067,0.42,0,0.07,-15.23,0.3,145.7,8,27
0.83,309133,0.53,0,0.39,-13.37,0.36,91.55,6,50
0.48,274530,0.99,0.53,0.41,-7.7,0.25,140.78,1,14
0.76,226702,0.32,0,0.13,-6.32,0.04,118.79,10,3
0.56,304517,0.53,0.01,0.41,-6.11,0.03,93,4,55
0.61,156893,0.88,0,0.52,-4.12,0.04,121.04,7,56
0.55,225600,0.85,0,0.13,-5.06,0.04,96.91,9,43
0.52,99787,0.68,0,0.15,-11.67,0.1,126.8,4,0
0.64,536364,0.56,0.75,0.1,-14.55,0.04,131.99,9,0
0.7,225065,0.82,0,0.2,-5.33,0.03,122.17,4,25
0.5,258038,0.56,0,0.1,-10.87,0.03,124.04,9,0
0.57,356571,0.76,0.13,0.13,-10.21,0.14,127.01,8,0
0.66,195773,0.48,0,0.02,-11.78,0.2,104.06,2,34
0.57,169213,0.48,0,0.11,-12.31,0.04,81.58,1,44
0.63,112872,0.33,0,0.12,-9.23,0.05,119.81,0,63
0.1,421059,0.04,0.88,0.11,-23.09,0.05,74.48,2,57
0.53,200120,0.2,0,0.09,-15.19,0.09,68.09,4,0
0.39,246979,0.33,0.01,0.18,-13.2,0.03,142.04,5,35
0.7,191360,0.72,0,0.16,-4,0.05,130.01,0,49
0.11,227013,0.03,0.87,0.09,-29.43,0.04,91.64,0,54
0.5,260867,0.64,0,0.22,-4.21,0.03,76.08,5,46
0.82,63733,0.05,0,0.12,-16.88,0.14,120.35,5,34
0.59,437063,0.85,0.31,0.11,-7.49,0.03,120.03,5,6
0.37,315070,0.43,0,0.21,-6.93,0.03,93.58,5,0
0.72,255204,0.59,0,0.14,-6.04,0.03,147.03,0,0
0.81,484776,0.4,0.9,0.13,-12.16,0.08,126,9,0
0.65,232013,0.67,0,0.08,-11.02,0.03,120.58,0,26
0.68,179499,0.9,0.06,0.07,-5.03,0.09,100.72,9,73
0.84,423750,0.81,0.84,0.86,-7.6,0.08,128,6,0
0.8,170733,0.43,0.01,0.24,-9.03,0.12,96.97,10,29
0.49,287267,0.83,0,0.13,-12.64,0.05,168.82,9,27
0.41,184307,0.89,0,0.25,-4.29,0.12,99.02,11,58
0.37,231735,0.56,0.01,0.53,-9.01,0.13,72.05,10,0
0.79,384375,0.95,0,0.66,-5.46,0.14,127.99,0,0
0.54,199040,0.57,0.79,0.11,-14.92,0.04,84.07,4,33
0.67,141430,0.51,0.07,0.13,-8.85,0.16,132.32,6,3
0.46,162333,0.82,0,0.16,-8.72,0.05,183.35,9,40
0.4,284867,0.22,0,0.17,-15.62,0.04,91.65,7,51
0.74,214133.5,0.55,0,0.28,-7.13,0.17,88.57,7,42
0.89,190560,0.87,0,0.02,-5.27,0.12,126.05,2,66
0.25,126733,0.21,0.15,0.14,-16.3,0.04,74.32,3,0
0.59,180167,0.07,0.02,0.32,-15.17,0.13,97.42,5,0
0.94,186910,0.39,0.92,0.14,-14.74,0.18,140.02,7,17
0.31,218073.5,0.21,0,0.44,-24.89,0.35,127.9,5,5
0.76,165827,0.41,0.96,0.12,-14.68,0.04,151.36,7,15
0.39,278920,0.58,0,0.19,-5.2,0.07,142.05,7,0
0.58,164310,0.25,0.88,0.15,-11.75,0.03,120.41,11,0
0.45,186400,0.45,0,0.1,-11.55,0.03,97.96,7,50
0.89,411707,0.67,0.78,0.08,-9.15,0.06,122.02,1,0
0.82,345241,0.72,0,0.09,-4.65,0.21,176.01,4,83
0.67,196507,0.49,0,0.09,-13.06,0.08,91.82,5,38
0.44,218356,0.8,0,0.12,-6.41,0.03,148.02,0,63
0.61,217933,0.82,0,0.15,-6.3,0.04,120.99,9,32
0.72,359307,0.98,0.9,0.07,-9.38,0.06,133.99,11,0
0.54,160933,0.24,0,0.52,-16.95,0.03,103.31,9,32
0.8,254720,0.56,0,0.06,-6.91,0.04,133.68,1,73
0.71,232853,0.62,0,0.1,-4.64,0.09,168.02,8,91
0.6,370394,0.78,0.84,0.05,-6.19,0.03,127,6,0
0.38,275760,0.15,0.43,0.13,-19.38,0.04,100,3,48
0.74,223693,0.36,0,0.17,-13.61,0.03,98.42,7,37
0.47,225382,0.44,0,0.09,-7.06,0.04,129.39,6,73
0.28,212333,0.16,0,0.11,-15.12,0.03,169.91,5,3
0.39,59531,0.71,0,0.87,-5.41,0.05,128.18,1,23
0.54,491520,0.92,0.27,0.33,-4.97,0.12,125,5,22
0.8,411992,0.88,0.89,0.05,-7.4,0.08,125.01,6,0
0.6,155742,0.21,0.74,0.14,-12.75,0.08,112.68,1,1
