danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0.69;485307;0.63;0.86;0.15;-10.29;0.06;119.93;2;med
0.35;213884;0.54;0;0.12;-8.26;0.05;188.07;5;med
0.57;260387;0.24;0.94;0.13;-14.88;0.05;115.59;0;med
0.64;268493;0.89;0;0.11;-2.8;0.33;160;11;med
0.36;264202;0.4;0;0.07;-8.17;0.03;88.24;2;med
0.55;232496;0.6;0;0.1;-5.4;0.08;83.84;11;high
0.57;213183;0.68;0;0.21;-7.05;0.05;89.01;6;med
0.71;199743;0.55;0;0.08;-9.73;0.03;100;0;med
0.9;223944;0.67;0;0.14;-6.55;0.31;119.97;4;high
0.68;115227;0.32;0;0.09;-7.54;0.03;108.07;10;med
0.8;277293;0.76;0;0.3;-9.78;0.05;92.83;9;med
0.54;186945;0.74;0;0.21;-5.12;0.03;96.01;8;med
0.43;268025.5;0.72;0.01;0.44;-11.17;0.24;177.18;2;med
0.11;256200;0.04;0.11;0.11;-25.91;0.05;82.11;5;med
0.62;163573;0.52;0.96;0.11;-12.72;0.04;113.73;2;med
0.59;231887;0.39;0;0.15;-12.36;0.03;124.95;4;med
0.4;348707;0.39;0.01;0.14;-8.37;0.03;81.68;0;med
0.57;151453;0.47;0;0.08;-8.42;0.03;96.52;7;med
0.55;220107;0.38;0;0.07;-10.52;0.03;73.38;3;med
0.22;221160;0.05;0.65;0.19;-25.5;0.05;74.07;9;med
0.28;159800;0.28;0.95;0.1;-22.32;0.05;166.72;4;med
0.18;315427;0.01;0.89;0.17;-37.26;0.04;170.61;1;high
0.24;174373;0.29;0.03;0.13;-11.62;0.04;94.7;7;med
0.54;227213;0.89;0.02;0.06;-5.46;0.09;183.78;0;med
0.68;84400;0.43;0;0.03;-13.3;0.09;108.42;2;med
0.85;169187;0.71;0;0.07;-7.54;0.06;160.96;0;med
0.69;242795.5;0.63;0;0.25;-5.47;0.07;109.5;2;med
0.63;278653;0.23;0.01;0.1;-14.89;0.03;96.09;9;med
0.83;254880;0.95;0.04;0.05;-6.85;0.05;131.94;6;med
0.68;210000;0.53;0;0.36;-5.88;0.03;112.01;9;high
0.52;414853;0.45;0.88;0.14;-9.55;0.03;127.81;4;med
0.65;280000;0.47;0;0.27;-6.74;0.03;120.19;0;high
0.67;255267;0.76;0;0.05;-11.55;0.04;122.29;9;med
0.71;186989;0.84;0;0.27;-6.47;0.22;118.34;7;med
0.77;217271;0.54;0;0.04;-6.68;0.03;118.12;8;med
0.42;117333;0.35;0;0.12;-15.68;0.04;171.19;4;med
0.59;215474;0.93;0;0.09;-1.43;0.12;136.92;0;med
0.56;160813;0.18;0;0.12;-7.81;0.03;109.59;0;med
0.78;198293;0.54;0.31;0.09;-10.99;0.05;111.27;0;med
0.76;218854;0.51;0;0.03;-10.74;0.17;81.51;2;med
0.45;289187;0.96;0.84;0.37;-2.95;0.04;99.99;5;med
0.63;230897;0.44;0;0.22;-12.07;0.05;179.89;6;med
0.33;295907;0.3;0;0.14;-13.67;0.05;185.63;9;med
0.71;204973;0.92;0;0.13;-11.84;0.05;115.09;2;med
0.62;214533;0.98;0;0.13;-7.03;0.03;131.97;9;med
0.58;145267;0.62;0;0.41;-8.24;0.03;112.07;4;med
0.6;251453;0.52;0.22;0.1;-10.83;0.03;151.91;3;med
0.75;151933;0.73;0;0.29;-12.66;0.04;135.87;2;med
0.08;427360;0.01;0.94;0.06;-33.48;0.04;83.29;8;med
0.44;498927;0.35;0;0.07;-15.41;0.09;104.63;0;med
0.58;200773;0.28;0;0.13;-10.04;0.12;199.99;8;med
0.31;132667;0.03;0.93;0.07;-37.24;0.04;69.16;9;med
0.49;298093;0.45;0;0.43;-11.99;0.03;94.02;11;med
0.5;214533;0.18;0;0.11;-15.36;0.04;111.96;9;high
0.3;452160;0.04;0.93;0.15;-29.59;0.06;85.11;3;med
0.15;640000;0.1;0.83;0.06;-20.82;0.04;139.51;9;med
0;432533;0.08;0.89;0.26;-19.4;0;0;9;med
0.83;443849;0.33;0.29;0.09;-13.84;0.05;128.63;11;med
0.72;136229;0.95;0.87;0.06;-5.53;0.06;167.37;1;high
0.51;147347;0.81;0;0.1;-6.96;0.08;201.94;9;med
0.55;276093;0.56;0;0.17;-6.23;0.04;130.06;7;med
0.68;267093;0.78;0.01;0.38;-10.24;0.05;128.53;6;med
0.64;257333;0.81;0;0.08;-7.95;0.03;112.78;0;med
0.43;399667;0.1;0.9;0.12;-23.88;0.04;93.23;0;med
0.71;117840;0.95;0;0.07;-3.54;0.09;163.09;7;med
0.91;246707;0.58;0;0.07;-8.11;0.16;100.15;11;med
0.71;331827;0.48;0;0.14;-7.93;0.04;92;1;med
0.67;250000;0.85;0;0.12;-6.74;0.03;153.58;0;med
0.59;188467;0.6;0;0.2;-6.26;0.03;109.7;7;med
0.66;229867;0.28;0;0.18;-15.32;0.2;200.6;9;med
0.34;238040;0.49;0;0.06;-5.85;0.03;72.82;1;med
